iter	RMSE
0	1.611045706
1	1.59864169
2	1.586412115
3	1.574437916
4	1.562502392
5	1.550726285
6	1.539049615
7	1.527494535
8	1.516104442
9	1.504849937
10	1.493648208
11	1.482584425
12	1.471717607
13	1.461020056
14	1.450394543
15	1.439866898
16	1.429466686
17	1.419160698
18	1.408956813
19	1.398941634
20	1.388998479
21	1.379219227
22	1.369516564
23	1.359945581
24	1.350490758
25	1.341215322
26	1.331901353
27	1.322904299
28	1.313771729
29	1.304798308
30	1.295972832
31	1.287319719
32	1.278804477
33	1.270314755
34	1.261880696
35	1.253549523
36	1.245337652
37	1.237208894
38	1.229153361
39	1.221414053
40	1.21358644
41	1.205884267
42	1.198141922
43	1.190525128
44	1.183046516
45	1.175603113
46	1.168379052
47	1.161220532
48	1.154076001
49	1.147078711
50	1.140043722
51	1.13316096
52	1.126384732
53	1.119778866
54	1.112992339
55	1.106249266
56	1.09979953
57	1.093385057
58	1.087084465
59	1.080895462
60	1.074707584
61	1.06864649
62	1.062393161
63	1.056084946
64	1.050024945
65	1.044250097
66	1.038447286
67	1.032736507
68	1.027008505
69	1.021432938
70	1.015918319
71	1.010538748
72	1.005084316
73	0.9997768636
74	0.9944544418
75	0.9892476792
76	0.9840262902
77	0.9788834255
78	0.9738420574
79	0.968983867
80	0.963999014
81	0.9593203754
82	0.9544153434
83	0.9498295338
84	0.9451302002
85	0.9403372418
86	0.9358932298
87	0.9313042693
88	0.9268774301
89	0.9224868266
90	0.9181460967
91	0.9138401182
92	0.9094866128
93	0.9051152052
94	0.9009436239
95	0.8966124015
96	0.8923552416
97	0.8885308142
98	0.8845632212
99	0.8806596259
100	0.8767976829
101	0.8730082337
102	0.8693098361
103	0.8656458462
104	0.8617716418
105	0.8580006459
106	0.8545035162
107	0.8509009855
108	0.8472851796
109	0.8438553476
110	0.840452936
111	0.8370763698
112	0.8339037842
113	0.8306246288
114	0.8273779721
115	0.8242115212
116	0.8211806285
117	0.8181096236
118	0.8149937635
119	0.8120044165
120	0.8089904852
121	0.8060934164
122	0.8029703617
123	0.8001057352
124	0.7971300787
125	0.7942973073
126	0.7913034448
127	0.7884727278
128	0.7857452475
129	0.7831320337
130	0.7805260861
131	0.7779749823
132	0.7754986877
133	0.77307304
134	0.7703958244
135	0.7680406834
136	0.7656874579
137	0.7632987021
138	0.7609179689
139	0.7585852672
140	0.7561409076
141	0.7539048553
142	0.7517109222
143	0.7495669158
144	0.7474067732
145	0.7451898923
146	0.7431280802
147	0.7407863552
148	0.7385220231
149	0.7362718132
150	0.7341296663
151	0.7321749069
152	0.7302374517
153	0.7283713919
154	0.7263664428
155	0.7244495403
156	0.7224098164
157	0.7204294218
158	0.718467818
159	0.7165898901
160	0.7147781209
161	0.7127669102
162	0.7108626871
163	0.7090270251
164	0.7072306776
165	0.705419566
166	0.7036780831
167	0.7019996064
168	0.7003269801
169	0.6986939211
170	0.6970781079
171	0.6954121816
172	0.6938460811
173	0.6922142021
174	0.6906897869
175	0.6892067767
176	0.6877789274
177	0.6863131798
178	0.6848933569
179	0.6835070021
180	0.6819883001
181	0.680438078
182	0.67889995
183	0.6774825965
184	0.6761569872
185	0.6746744359
186	0.6734183
187	0.6720569448
188	0.6708238791
189	0.6696197901
190	0.668382674
191	0.6670063231
192	0.6657802201
193	0.6644827567
194	0.6632727152
195	0.6621134931
196	0.6609760928
197	0.6598833404
198	0.6588184453
199	0.657715183
200	0.6566139513
201	0.6553634105
202	0.6542765316
203	0.6532187776
204	0.6521601788
205	0.6511476083
206	0.6501874614
207	0.649040149
208	0.6480583179
209	0.6469518908
210	0.6460156507
211	0.6450737201
212	0.644104336
213	0.6431279954
214	0.6421855124
215	0.6412427156
216	0.6403576108
217	0.6395080827
218	0.6386200835
219	0.6377626465
220	0.636939617
221	0.6360544012
222	0.6352249988
223	0.6343731288
224	0.6335460133
225	0.6326691882
226	0.6318566211
227	0.6310472865
228	0.6301723581
229	0.6293149154
230	0.6285031766
231	0.6277443257
232	0.6268302817
233	0.6260955926
234	0.6252733637
235	0.6245740071
236	0.6238792985
237	0.623018869
238	0.6222341739
239	0.621504532
240	0.6208261387
241	0.6201430172
242	0.6193979424
243	0.6187708875
244	0.6179885232
245	0.6172860669
246	0.6163914849
247	0.615769461
248	0.6148920185
249	0.6139737455
250	0.6133404465
251	0.6126918051
252	0.6118738888
253	0.6112333187
254	0.6105900726
255	0.6098663513
256	0.6093092645
257	0.6087459197
258	0.607927536
259	0.6073523335
260	0.6065777302
261	0.6058049475
262	0.6051657879
263	0.6043942589
264	0.6036638686
265	0.6028873435
266	0.6021955547
267	0.6015357028
268	0.6008338071
269	0.600287185
270	0.5997989258
271	0.5993130437
272	0.5987246281
273	0.5981531443
274	0.5976616434
275	0.5971109207
276	0.5966124696
277	0.5960116297
278	0.5953954941
279	0.5949424308
280	0.5944877936
281	0.5939280716
282	0.5933180148
283	0.5927739668
284	0.5922276619
285	0.5917089944
286	0.5911364069
287	0.5905558771
288	0.5900989357
289	0.5895166438
290	0.5890002644
291	0.588396047
292	0.5880133335
293	0.5874690455
294	0.5869439138
295	0.5864390245
296	0.5859980135
297	0.5855494443
298	0.5850709907
299	0.58454705
300	0.5841349709
301	0.5836938977
302	0.583300988
303	0.5828916797
304	0.5824708296
305	0.5820830657
306	0.5816624442
307	0.5811724383
308	0.5807044452
309	0.5802915254
310	0.5798942262
311	0.5795021537
312	0.5791109004
313	0.5787224377
314	0.5783673258
315	0.5779075
316	0.5774553007
317	0.5769939897
318	0.5766216254
319	0.5762450168
320	0.5758688698
321	0.5755084245
322	0.5751344237
323	0.574668527
324	0.574322109
325	0.5739526195
326	0.5736345816
327	0.5732940397
328	0.5728432277
329	0.5724239084
330	0.572085435
331	0.5717580112
332	0.5714099156
333	0.5709951191
334	0.5707038873
335	0.5703993244
336	0.5700645707
337	0.5697228935
338	0.5694632586
339	0.5691497285
340	0.5688523017
341	0.5685662355
342	0.5682672061
343	0.5679864229
344	0.5676944308
345	0.5673821593
346	0.5670077242
347	0.5666840685
348	0.56639605
349	0.5661405394
350	0.5658656846
351	0.5655904037
352	0.5652996021
353	0.5650255146
354	0.5646722945
355	0.5643065732
356	0.5640003424
357	0.5637072129
358	0.5634550175
359	0.5631050616
360	0.5628407765
361	0.5625789661
362	0.5622525563
363	0.5619906057
364	0.561754177
365	0.5615081847
366	0.5612783185
367	0.5609804372
368	0.5607433722
369	0.5604868463
370	0.5601753945
371	0.5599301438
372	0.5596357152
373	0.5594246312
374	0.5592062137
375	0.5589846456
376	0.5587156723
377	0.5585048484
378	0.5583047272
379	0.5580571454
380	0.5578352204
381	0.5575678228
382	0.5573743425
383	0.5571732868
384	0.5569601108
385	0.5567727314
386	0.5565745243
387	0.5563808001
388	0.5561160177
389	0.5559014208
390	0.5557251805
391	0.5555074259
392	0.5553241346
393	0.555130423
394	0.5549176838
