iter	Passed	Remaining
0	26	26451
1	49	24770
2	75	25172
3	101	25300
4	125	24994
5	150	24917
6	173	24563
7	196	24386
8	220	24308
9	244	24163
10	266	23995
11	292	24042
12	315	23967
13	339	23909
14	362	23796
15	386	23790
16	410	23724
17	435	23741
18	459	23711
19	484	23748
20	508	23716
21	531	23627
22	555	23594
23	580	23590
24	606	23648
25	628	23558
26	650	23438
27	675	23452
28	698	23400
29	722	23376
30	747	23364
31	769	23273
32	791	23195
33	816	23194
34	840	23182
35	864	23148
36	887	23103
37	909	23023
38	934	23023
39	958	23000
40	982	22970
41	1006	22960
42	1028	22893
43	1051	22838
44	1075	22817
45	1099	22811
46	1124	22794
47	1147	22761
48	1170	22711
49	1194	22701
50	1217	22659
51	1241	22642
52	1266	22632
53	1290	22611
54	1316	22623
55	1342	22626
56	1367	22622
57	1391	22604
58	1414	22560
59	1437	22514
60	1460	22488
61	1484	22462
62	1508	22441
63	1532	22411
64	1556	22384
65	1580	22362
66	1603	22334
67	1626	22287
68	1649	22258
69	1673	22227
70	1697	22205
71	1721	22183
72	1743	22141
73	1768	22127
74	1791	22095
75	1814	22064
76	1837	22027
77	1861	22008
78	1885	21981
79	1909	21956
80	1934	21952
81	1956	21906
82	1981	21889
83	2004	21857
84	2026	21811
85	2050	21795
86	2077	21802
87	2101	21778
88	2125	21751
89	2148	21720
90	2172	21699
91	2197	21683
92	2220	21656
93	2246	21653
94	2270	21632
95	2294	21609
96	2319	21589
97	2343	21567
98	2367	21544
99	2392	21528
100	2416	21511
101	2441	21493
102	2465	21475
103	2491	21466
104	2514	21434
105	2539	21414
106	2562	21384
107	2587	21369
108	2611	21346
109	2634	21318
110	2659	21299
111	2684	21283
112	2709	21269
113	2733	21240
114	2757	21221
115	2782	21203
116	2805	21171
117	2829	21149
118	2854	21136
119	2880	21120
120	2905	21105
121	2930	21090
122	2955	21069
123	2977	21034
124	3001	21013
125	3025	20987
126	3051	20975
127	3074	20945
128	3098	20918
129	3123	20901
130	3146	20870
131	3169	20839
132	3192	20809
133	3215	20783
134	3238	20747
135	3260	20716
136	3284	20691
137	3309	20671
138	3333	20645
139	3357	20625
140	3381	20601
141	3406	20585
142	3430	20556
143	3453	20529
144	3478	20509
145	3502	20487
146	3528	20474
147	3551	20445
148	3575	20422
149	3600	20400
150	3623	20372
151	3648	20354
152	3671	20322
153	3695	20299
154	3719	20278
155	3743	20253
156	3767	20230
157	3793	20213
158	3814	20178
159	3838	20151
160	3862	20127
161	3886	20103
162	3912	20088
163	3936	20068
164	3960	20040
165	3985	20024
166	4009	19997
167	4034	19982
168	4059	19959
169	4082	19933
170	4107	19911
171	4132	19892
172	4155	19864
173	4180	19845
174	4204	19819
175	4231	19812
176	4256	19791
177	4283	19778
178	4311	19774
179	4335	19752
180	4359	19726
181	4385	19711
182	4410	19690
183	4434	19666
184	4460	19649
185	4484	19626
186	4509	19606
187	4533	19582
188	4558	19559
189	4583	19538
190	4608	19520
191	4631	19491
192	4654	19461
193	4678	19436
194	4702	19414
195	4727	19393
196	4751	19368
197	4776	19349
198	4801	19325
199	4826	19305
200	4852	19290
201	4876	19265
202	4902	19249
203	4927	19225
204	4952	19206
